time,ut61e.Cell_Voltage.V
2022-03-08 22:31:46.916549,3.345
2022-03-08 22:31:47.920600,3.345
2022-03-08 22:31:48.923127,3.345
2022-03-08 22:31:49.925605,3.345
2022-03-08 22:31:50.928061,3.345
2022-03-08 22:31:51.930920,3.345
2022-03-08 22:31:52.933687,3.345
2022-03-08 22:31:53.936190,3.345
2022-03-08 22:31:54.938739,3.35
2022-03-08 22:31:55.941472,3.35
2022-03-08 22:31:56.944235,3.35
2022-03-08 22:31:57.946766,3.35
2022-03-08 22:31:58.949163,3.35
2022-03-08 22:31:59.951330,3.35
2022-03-08 22:32:00.954123,3.35
2022-03-08 22:32:01.957259,3.35
2022-03-08 22:32:02.960116,3.35
2022-03-08 22:32:03.963072,3.35
2022-03-08 22:32:04.965336,3.35
2022-03-08 22:32:05.968208,3.351
2022-03-08 22:32:06.970935,3.351
2022-03-08 22:32:07.974467,3.35
2022-03-08 22:32:08.977178,3.351
2022-03-08 22:32:09.979373,3.351
2022-03-08 22:32:10.981863,3.35
2022-03-08 22:32:11.983936,3.351
2022-03-08 22:32:12.986179,3.351
2022-03-08 22:32:13.988833,3.351
2022-03-08 22:32:14.991139,3.351
2022-03-08 22:32:15.993981,3.351
2022-03-08 22:32:16.996840,3.351
2022-03-08 22:32:17.999775,3.35
2022-03-08 22:32:19.002615,3.351
2022-03-08 22:32:20.009715,3.351
2022-03-08 22:32:21.012655,3.351
2022-03-08 22:32:22.015570,3.351
2022-03-08 22:32:23.018576,3.351
2022-03-08 22:32:24.021170,3.351
2022-03-08 22:32:25.023462,3.351
2022-03-08 22:32:26.025904,3.351
2022-03-08 22:32:27.028667,3.351
2022-03-08 22:32:28.031289,3.351
2022-03-08 22:32:29.034315,3.351
2022-03-08 22:32:30.037109,3.351
2022-03-08 22:32:31.039859,3.351
2022-03-08 22:32:32.042971,3.351
2022-03-08 22:32:33.045856,3.351
2022-03-08 22:32:34.048854,3.351
2022-03-08 22:32:35.051422,3.351
2022-03-08 22:32:36.053894,3.351
2022-03-08 22:32:37.056238,3.351
2022-03-08 22:32:38.058533,3.351
2022-03-08 22:32:39.060975,3.351
2022-03-08 22:32:40.063562,3.351
2022-03-08 22:32:41.066378,3.351
2022-03-08 22:32:42.069285,3.351
2022-03-08 22:32:43.071984,3.351
2022-03-08 22:32:44.074691,3.351
2022-03-08 22:32:45.077686,3.351
2022-03-08 22:32:46.079958,3.351
2022-03-08 22:32:47.082604,3.351
2022-03-08 22:32:48.085422,3.351
2022-03-08 22:32:49.088218,3.351
2022-03-08 22:32:50.090620,3.351
2022-03-08 22:32:51.092574,3.351
2022-03-08 22:32:52.095078,3.351
2022-03-08 22:32:53.097904,3.351
2022-03-08 22:32:54.100785,3.351
2022-03-08 22:32:55.103739,3.351
2022-03-08 22:32:56.106267,3.351
2022-03-08 22:32:57.109055,3.351
2022-03-08 22:32:58.111857,3.351
2022-03-08 22:32:59.114683,3.351
2022-03-08 22:33:00.117441,3.351
2022-03-08 22:33:01.119681,3.351
2022-03-08 22:33:02.122138,3.351
2022-03-08 22:33:03.124358,3.351
2022-03-08 22:33:04.126596,3.351
2022-03-08 22:33:05.129407,3.351
2022-03-08 22:33:06.131945,3.351
2022-03-08 22:33:07.134406,3.351
2022-03-08 22:33:08.137245,3.351
2022-03-08 22:33:09.140126,3.351
2022-03-08 22:33:10.142445,3.351
2022-03-08 22:33:11.145287,3.351
2022-03-08 22:33:12.148123,3.351
2022-03-08 22:33:13.151276,3.351
2022-03-08 22:33:14.154301,3.351
2022-03-08 22:33:15.165683,3.351
2022-03-08 22:33:16.168120,3.351
2022-03-08 22:33:17.170222,3.351
2022-03-08 22:33:18.173139,3.351
2022-03-08 22:33:19.176073,3.351
2022-03-08 22:33:20.178924,3.351
2022-03-08 22:33:21.182323,3.351
2022-03-08 22:33:22.184546,3.351
2022-03-08 22:33:23.187308,3.351
2022-03-08 22:33:24.190114,3.351
2022-03-08 22:33:25.192922,3.351
2022-03-08 22:33:26.195805,3.351
2022-03-08 22:33:27.197979,3.351
2022-03-08 22:33:28.200792,3.351
2022-03-08 22:33:29.203212,3.351
2022-03-08 22:33:30.205596,3.351
2022-03-08 22:33:31.207679,3.351
2022-03-08 22:33:32.210025,3.351
2022-03-08 22:33:33.212690,3.351
2022-03-08 22:33:34.215458,3.351
2022-03-08 22:33:35.218175,3.351
2022-03-08 22:33:36.220856,3.351
