time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary
2022-06-11 05:19:37.238378,0,0,0,0,0,0,0,27.07,64.8,27.5,0,0,0,0,560,0,,
2022-06-11 05:19:38.244684,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.8,27.5,0,0,0,0,560,0,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:39.247806,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.6,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:40.251468,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:41.254917,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.374,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:42.257210,28.1,279.9,23.1,279.9,91,100,0.0,27.07,64.3,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:43.260273,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.2,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:44.263258,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.2,27.5,3.377,3.401,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:45.265701,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:46.268003,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.3,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:47.270766,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.2,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:48.274032,28.1,279.9,23.1,279.9,91,100,0.0,27.1,64.7,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:49.277583,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.4,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:50.280724,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.4,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:51.283170,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.7,27.5,3.371,3.399,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:52.286535,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.1,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:53.289847,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.1,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:54.292635,28.1,279.9,23.1,279.9,91,100,0.0,27.09,64.3,27.5,3.375,3.395,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:55.295731,28.1,279.9,23.1,279.9,91,100,0.0,27.08,63.9,27.5,3.377,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:56.298037,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.377,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:57.301186,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.0,27.5,3.377,3.393,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:58.303991,28.1,279.9,23.1,279.9,91,100,0.0,27.08,63.9,27.5,3.375,3.404,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
2022-06-11 05:19:59.306710,28.1,279.9,23.1,279.9,91,100,0.0,27.08,64.2,27.5,3.375,3.404,26,27,560,558,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000
