time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-06 14:04:07.101596,27.6,279.9,23.1,279.9,0,0,0,26.56,-3.6,27.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0
2023-03-06 14:04:08.105367,27.6,279.9,23.1,279.9,0,0,0,26.56,-3.6,27.0,0,0,0,0,560,0,,,0,0,0,0,0,0,0
2023-03-06 14:04:09.108292,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.6,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:10.111213,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.6,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:11.114106,27.6,279.9,23.1,279.9,92,100,0.0,26.55,-3.7,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:12.116983,27.6,279.9,23.1,279.9,92,100,0.0,26.55,-3.7,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:13.119843,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.5,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:14.122107,27.6,279.9,23.1,279.9,92,100,0.0,26.55,-3.7,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:15.124511,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.7,27.0,3.318,3.323,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
2023-03-06 14:04:16.127419,27.6,279.9,23.1,279.9,92,100,0.0,26.56,-3.7,27.0,3.318,3.321,26,27,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0
