time,rec-q-can.CVL.V,rec-q-can.CCL.A,rec-q-can.DVL.V,rec-q-can.DCL.A,rec-q-can.SOC.%,rec-q-can.SOH.%,rec-q-can.SOC_HR.%,rec-q-can.Battery Voltage.V,rec-q-can.Battery Current.A,rec-q-can.Battery Temp.C,rec-q-can.Min Cell Voltage.V,rec-q-can.Max Cell Voltage.V,rec-q-can.Min Temperature.C,rec-q-can.Max Temperature.C,rec-q-can.Rated Capacity.AH,rec-q-can.Remaining Capacity.AH,rec-q-can.Warning Bits.binary,rec-q-can.Alarm Bits.binary,ws-can.CVT.V,ws-can.CCT.A,ws-can.CV.V,ws-can.CC.A,ws-can.Alternator Temperature.C,ws-can.Alternator Speed.RPM,ws-can.Engine Speed.RPM,ws-can.Field Drive.%
2023-03-07 03:07:35.595387,27.6,279.9,23.1,279.9,0,0,0,26.54,-6.9,29.0,3.317,3.32,28,29,0,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:36.599459,27.6,279.9,23.1,279.9,0,0,0,26.54,-6.9,29.0,3.317,3.32,28,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:37.602232,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.9,29.0,3.317,3.32,28,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:38.604822,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:39.607941,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:40.611403,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:41.614892,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:42.618409,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:43.621249,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.8,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
2023-03-07 03:07:44.624144,27.6,279.9,23.1,279.9,90,100,0.0,26.54,-6.4,29.0,3.315,3.32,29,29,560,555,00000000 10101000 10000010 00001010,10101000 10100000 10001010 00000000,0,0,0,0,0,0,0,0
